sample.id	population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample.12	PEL	-0.007508	-0.00253927	-0.00688911	0.0473746	-0.0157124	-0.0114775	0.00131262	0.0102044	-0.000420458	-0.0223146	-0.00311617	0.0106379	0.00866902	0.00178761	0.00227375	0.00639171	-0.00222236	-0.0040574	0.00318974	0.00192722
sample.13	PEL	-0.010472	-0.0180704	-0.0119981	0.000625145	-0.000235469	0.000450044	-0.00598012	-0.00211481	0.00191356	0.010074	0.00538883	-0.0065873	-0.000220922	0.00310048	-0.00298174	-0.00592448	-3.5273e-05	0.00172788	-0.00470138	0.00380711
sample.14	PEL	-0.00466717	-0.00347641	-0.00174212	-0.0131194	-0.0334052	0.0175106	-0.023532	-0.0246769	0.00905767	-0.000461047	0.0401131	0.0298458	0.00664238	-0.00100189	0.00188865	-0.00762917	0.00338387	-0.00943687	0.0111809	0.00751155
sample.15	PEL	-0.00754302	-0.00490686	-0.00758088	-0.0232788	-0.0328945	-0.00506689	-0.00823637	0.0106435	-0.000628354	0.0402125	0.0107724	0.0238706	0.0262886	-0.00838862	-0.00555889	0.019387	0.00426182	-0.00179196	-0.00642249	-0.00326158
sample.16	PEL	-0.00200536	-0.00847879	-0.00863337	-0.00689981	0.0170991	-0.0361545	-0.0127742	-0.020719	-0.0502457	0.00156011	0.00331106	-0.00460853	0.00369221	0.0016418	-0.00739538	-0.00181376	-0.00424806	-0.0197579	0.00472556	-0.00860442
sample.17	PEL	-0.010149	-0.0158309	-0.011665	0.0127122	-0.000146065	-0.00466682	0.000560188	0.0250446	0.00404803	0.00463551	-0.0013599	0.00282513	0.00629425	0.0029721	-0.00236528	0.00185496	-0.00150082	0.00135265	0.00140109	-0.00144628
sample.18	PEL	-0.00830023	-0.00419899	-0.00871946	0.0594292	-0.0136374	-0.0111569	0.00379361	-0.0272642	0.0084958	0.00550032	0.00599831	0.00492721	0.0108849	-0.00427874	-0.00319356	0.0053064	-0.00821064	0.00161826	-0.00468888	-0.0102432
sample.19	PEL	-0.00883331	-0.00785575	-0.00774256	-0.0199781	-0.00793346	0.000599612	-0.00347788	0.0291827	0.00189403	-0.0108643	-0.0113328	-0.0345742	0.00261561	-0.00323104	-0.00117122	-0.00296645	0.00797058	0.00962125	-0.00513722	-0.000313289
sample.20	PEL	-0.00922881	-0.0111436	-0.0112668	-0.000849551	-0.0196521	-0.00451009	-0.00773089	0.0331761	-0.00165936	0.00115	0.00515866	-0.00666481	-0.00210018	-0.00256747	-5.17406e-05	-0.00423986	-8.78009e-05	0.00252753	0.00574683	0.00317645
sample.21	PEL	-0.00918862	-0.0134535	-0.0121001	-0.0180761	-0.00488345	-0.00508745	-0.00853575	0.00252005	0.006858	-0.0187784	0.00280994	0.0143575	0.00784095	-0.0102146	0.00487663	0.00222796	-0.000902496	-0.00049129	0.00334899	0.0140589
sample.22	PEL	-0.00736229	0.000125679	-0.00791991	0.0136052	-0.0195362	-0.0109242	-0.00610369	0.00511934	-0.000254831	0.0044435	-0.00266705	0.0191958	-0.00897875	0.0100621	0.00322112	-0.0116489	-0.0105019	-0.00607448	0.00298064	0.00860021
sample.23	PEL	-0.00947416	-0.0118005	-0.0112852	-0.00685346	0.0289993	0.00754388	0.00328181	0.00779679	-0.0038524	-0.000427867	0.0049557	0.00189874	0.0043863	0.00341453	-0.00494309	0.00617939	-0.000197488	5.50153e-05	0.00662241	-0.000556278
sample.24	PEL	-0.0103594	-0.0168168	-0.0122493	-0.00767642	-0.00198223	-0.000968245	0.00223981	0.00173791	-0.00624383	0.0370334	0.0012345	-0.0089699	0.00696415	0.00171172	-0.00467976	0.00497132	-0.000167812	0.00808416	-0.000856806	0.0012855
sample.25	PEL	-0.00827309	-0.00727933	-0.00963109	0.0118806	-0.0212623	-0.00523097	-0.011278	0.0588101	-0.00146365	-0.0143271	-0.000863907	-0.00416291	-0.00951715	-0.00244624	0.000394262	-0.0098903	-0.000673467	0.0022823	0.0045494	-0.00132435
sample.26	PEL	-0.00951071	-0.0098093	-0.00976429	0.00680062	-0.0224237	-0.00648176	-0.00887757	0.0225943	0.000311411	-0.0297138	-0.00999666	-0.00172525	-0.0103007	-0.00121444	-0.00313141	-0.00458849	0.00145943	-0.00538881	-0.00201012	0.00635094
sample.27	PEL	-0.00909628	-0.0109662	-0.0105348	0.0183987	-0.00498855	-0.000527997	0.00494262	-0.0363471	-0.000673844	0.0179321	0.00202285	0.00416382	0.0124975	0.00135859	-0.0055865	0.00698116	-0.00153705	0.0054575	0.00218957	0.0029136
sample.28	PEL	-0.00796986	-0.00820495	-0.00486128	-0.0117328	0.0351202	0.00902956	-0.000314898	0.00426062	-0.0019997	-0.0140211	0.00397904	0.0303011	0.00325072	0.00391298	-0.000602784	0.00222286	-0.00742083	-0.00315491	0.00351647	0.00187366
sample.29	PEL	-0.0097703	-0.015348	-0.0110467	0.0155883	0.00255771	-0.00322165	-0.00128917	0.0169448	-0.00194982	0.00418753	-0.000570613	0.000206488	-0.00564063	0.000855131	3.70222e-05	-0.00999809	-0.00328014	0.00232028	-0.00270715	0.000615878
sample.30	PEL	-0.0105811	-0.0183989	-0.0128003	0.0106732	0.0016392	-0.00286737	0.000290829	0.00403252	0.00389612	-0.00596659	-0.00310828	0.00539944	-0.0055368	0.00546643	-0.00364728	0.00211941	-0.00619647	5.57054e-05	0.00354947	-0.00281902
sample.31	PEL	-0.00867254	-0.0065066	-0.0111485	-0.00367353	0.0252736	0.00579143	0.00720129	0.0407497	0.00157519	-0.0100649	0.0103944	-0.0632352	0.00911534	-0.00333547	-0.00729396	-0.00216453	0.0126607	0.00681175	-0.00677435	-0.00243261
sample.32	PEL	-0.00988135	-0.015696	-0.011762	-0.00296185	0.0113623	0.00328916	0.00169305	-0.000375271	0.00490753	-0.0032901	0.00150141	-0.0224644	0.00845742	-0.00329677	-0.00568027	0.00534012	0.00745755	-6.70966e-05	0.000785687	0.00297232
sample.33	PEL	-0.00626336	0.00115211	-0.00700738	0.0536705	0.0119601	-0.0128076	-0.000573338	-0.000309133	0.00759056	0.0039756	0.00577499	0.0262314	-0.00286285	-0.00201778	0.00322991	0.0163343	-0.0105884	-0.00659062	0.00584839	0.00901025
sample.34	PEL	-0.00760709	0.000130081	-0.0062967	-0.0129629	0.00522466	0.00466635	0.00545187	-0.0383853	0.00791375	0.00695059	0.0157053	0.00365814	0.0096889	-0.00297312	-0.00246762	0.00273411	0.000683713	0.00196888	0.00255305	0.000303564
sample.35	PEL	-0.00905569	-0.00794208	-0.00846261	0.024502	-0.0215005	-0.00542826	-7.47055e-05	-0.0103884	0.00897031	-0.0075359	-0.0036438	0.00995015	0.0110383	-0.00533034	-0.00544108	0.00815454	-0.00176346	-0.00484364	-0.00361892	-0.0036798
sample.36	PEL	-0.0100597	-0.0155556	-0.0128087	0.0138511	-0.00546059	-0.000388422	0.00387726	-0.0295038	-6.41769e-05	0.00581253	-0.00419347	-0.00623675	-0.0094252	0.00257822	0.000833894	-0.00499395	-0.00293083	0.000226964	0.000826368	-0.00243526
sample.37	PEL	-0.00926258	-0.0116649	-0.0110864	0.0305247	-0.008722	-0.00440673	0.00234213	-0.0257396	0.0112423	0.00232729	-0.00279231	0.00046408	0.00787713	0.00591141	-0.0010378	-0.00133421	-0.000784091	-0.000932136	-0.00406638	-0.00235083
sample.38	PEL	-0.00996971	-0.0152934	-0.0134828	0.0148296	-0.00459767	-0.00462497	0.00211407	-0.00285315	0.000115168	-0.00445344	0.00545248	0.0149809	0.0242305	-0.00430371	-0.00575802	0.0103762	0.00704334	0.00335063	-0.00208804	-0.00639252
sample.39	PEL	-0.00886002	-0.00856199	-0.00941727	0.0263909	-0.0155045	-0.00268659	0.00843274	-0.0410852	0.00801296	-0.0291231	-0.0109139	-0.00707258	-0.0219014	0.0057438	0.00134591	-0.00635417	0.000709601	-0.00850099	0.000484355	0.00194246
sample.40	PEL	-0.00775471	-0.00541271	-0.00866408	-0.000799045	-0.0334081	-0.0022035	0.00162819	0.0206087	0.00274116	0.00533977	0.0032402	0.0163991	0.00755278	-0.00781072	-0.00173151	0.00583439	7.09252e-05	0.000209757	-0.0111777	0.00899256
sample.41	PEL	-0.00985675	-0.0136078	-0.0104176	0.0214033	-0.00569999	-0.00201232	0.00169527	-0.0242246	-0.000998134	0.0116365	0.00274742	0.0100375	0.0197448	-0.00331594	-0.00152687	0.00908031	0.000778068	0.000791214	-0.00316031	-0.00347614
sample.42	PEL	-0.00998479	-0.0167497	-0.0140118	-0.00174914	0.0108695	-0.00313112	0.00161874	-0.00258292	-0.000531155	-0.00179101	0.000805827	-0.0246623	0.0128426	-0.00187798	-0.0026947	0.00451798	0.00837288	0.00215061	-0.00675178	-0.00295948
sample.43	PEL	-0.0106749	-0.0175433	-0.0122746	0.000245316	-0.000589668	0.000790872	-0.00207257	0.012708	-0.00591295	0.000601799	0.00306981	-0.00324368	-0.0115446	0.00188579	0.00039381	-0.00570841	0.00628602	-0.00476249	0.00285556	0.00401841
sample.44	PEL	-0.0103742	-0.0149011	-0.0111425	0.0146452	-0.00797506	-0.00460494	-0.00194517	-0.00197211	-0.000650588	-0.000799506	-0.00641339	-0.0190043	-0.0260968	0.00364182	0.00240208	-0.0144803	-0.00376509	0.00188537	0.000469239	0.00412202
sample.45	PEL	-0.0105908	-0.0180532	-0.0110304	-0.000582447	0.00102726	0.00265757	0.000645457	-0.00395463	-2.55923e-05	0.0028259	0.00513328	0.00818256	0.00647098	0.00107998	-0.00347249	0.0028121	-0.00393884	0.00217178	-8.68944e-05	-0.00355117
sample.46	PEL	-0.00802525	-0.00622401	-0.00903882	0.030187	-0.019513	-0.00584937	-0.00817194	0.0214729	0.00214255	-0.0279543	0.00879115	0.0124571	0.0330249	-0.00719218	-0.000509444	0.0109871	0.00685153	-0.00360707	0.00328881	-0.00151196
sample.47	PEL	-0.00822967	-0.00421709	-0.00910062	0.0297654	0.0225464	0.000586783	0.00146942	0.00331439	0.00135889	-0.000713957	0.0033538	-0.00217098	-0.00253395	-0.00308985	-0.000822503	0.000976627	0.00225454	0.00114003	0.0032668	0.00301187
sample.48	PEL	-0.0108706	-0.0178246	-0.0128571	-0.00404095	0.00432283	0.00144137	0.0023653	-0.00249226	-0.00061409	0.00377733	0.00375539	-0.020475	0.00467843	0.00134035	-0.00193652	0.0010711	0.00782577	-0.00141561	-0.00171321	0.00202727
sample.49	PEL	-0.00913048	-0.00974519	-0.0105345	0.0203442	0.00929361	-0.00212346	0.0022227	0.00760462	0.00488134	0.00134267	-0.0134917	-0.00600441	-0.0124193	0.00566396	0.00305896	-0.00501516	0.00367811	0.00130397	0.00193683	0.0101137
sample.50	PEL	-0.00914971	-0.0102519	-0.0095664	-0.00256515	-0.00376374	-0.00132359	-0.00647534	0.0247399	0.00286283	-0.034316	-0.00638962	0.0310989	-0.00484401	-0.000442328	0.0015907	-0.00515856	-0.0138887	-0.00403016	0.00119238	0.00759788
sample.51	PEL	-0.0072531	0.00252651	-0.00587356	0.000215392	0.0164026	0.00166207	0.00987093	-0.0027068	0.00292091	-0.0195306	0.00207497	-0.0240906	0.0283644	-0.000223282	-0.00421304	0.00687331	0.00569523	0.0109859	-0.0110075	-0.0105384
sample.52	PEL	-0.00809499	-0.00476457	-0.00632729	0.0124532	-0.000112207	0.00179105	-0.00181855	0.0147573	0.00192505	0.0270414	0.0193007	-0.0173994	0.0430914	-0.00259067	-0.00386754	0.0179972	0.0177044	0.00424983	-0.0064129	-0.00333122
sample.53	PEL	-0.0101096	-0.017027	-0.0119579	0.00113821	-0.00173075	0.00172734	0.00198533	-0.00727291	0.00189865	-0.000791379	-0.00693004	-0.0080621	-0.00825122	0.00151995	-0.0013503	-0.00426645	-0.00594073	-0.00247721	0.000471363	0.00243681
sample.54	PEL	-0.0102505	-0.016458	-0.0116147	-0.00712655	-0.00414075	0.00165499	-0.000802322	-0.0111699	-0.00108907	-0.0183738	-0.00268331	0.00308274	-0.0149117	0.00150164	-0.00149971	-0.00742637	-0.00507741	-0.0054361	0.00392824	-0.00356675
sample.55	PEL	-0.0100842	-0.0152693	-0.0122163	0.00209104	0.00181737	0.00309128	0.0051732	-0.0102663	0.00415047	-0.0110698	-0.00480494	-0.000543206	-0.0189446	0.00925131	0.0026434	-0.00877615	-0.00445507	0.00628981	0.0050012	0.00221797
sample.56	PEL	-0.0098622	-0.0127072	-0.0128616	-0.00748891	0.0374342	0.00368983	0.0021544	-0.001076	0.000873657	0.0032868	-0.00466685	0.00607514	0.00280209	-0.00397669	0.000504541	0.00449208	-0.000849938	-0.00169813	-0.00116892	0.00420056
sample.57	PEL	-0.00912355	-0.0122345	-0.0120251	0.0213645	-0.00432904	-0.00672471	-0.00420637	0.0234452	-0.000124277	0.00488003	0.00612136	0.00683307	0.0258584	-0.00558926	0.00648055	0.00808745	0.000906337	-0.000521608	-0.0016385	-0.00287136
sample.58	PEL	-0.00845322	-0.00599166	-0.00886458	0.019111	-0.0183876	-0.00150896	-0.00441816	-0.0155139	0.0057097	-0.00850131	-0.00174174	0.0160124	0.00777831	-0.000196733	-0.000389442	0.00539186	-0.00300465	-0.00308048	-0.00532502	0.00477877
sample.59	PEL	-0.00938755	-0.0116382	-0.0109494	0.0290287	-0.00380953	-0.00497615	-0.00234136	0.0139464	-0.00378098	-0.00368147	0.00245437	-0.000681746	0.0265414	-0.00507567	-0.00752627	0.008891	0.0094407	-0.00252742	-0.00196258	-0.00690462
sample.60	PEL	-0.00951652	-0.0107855	-0.0123892	0.0300367	-0.00704422	-0.00483509	-0.00540966	0.0294729	-0.00619953	-0.00342953	0.0102984	0.0297213	0.0176412	0.00058975	-0.00170768	0.00795719	0.00805386	-0.00699749	0.00765359	0.000371355
sample.61	PEL	-0.00834632	-0.0039935	-0.00799871	0.0241422	-0.0250271	-0.00885919	-0.00352083	0.00828314	-0.00395339	-0.014093	-0.00126525	-0.0124172	-0.00329076	0.00048326	0.00768048	-0.0113448	-0.00446152	-0.00288857	0.00565854	-0.00520026
sample.62	PEL	-0.0104804	-0.0180948	-0.00426604	-0.00844174	0.00443079	0.00459742	0.00417151	-0.00347801	-0.00403229	0.0133091	-0.00013061	-0.00618359	-0.000771262	-0.00278397	-0.00206344	0.00246397	8.73439e-05	0.00226483	-0.0022317	-0.00232752
sample.63	PEL	-0.00331595	-0.0074843	-0.00872144	0.00462763	0.0292353	-0.0321572	-0.00118589	-0.0106122	0.01502	0.00324868	-0.00101846	0.0116417	0.00438264	0.00375984	-0.0083915	0.000786486	-0.00345226	0.00120392	-0.0021481	0.00773194
sample.64	PEL	-0.00831986	-0.00669983	-0.00939863	0.0308807	-0.0060999	-0.00525225	0.00430124	-0.018696	0.00601923	-0.0123335	-0.0042276	0.0254258	-0.0178591	0.00045402	-0.00239545	-0.00614501	-0.00355729	-0.00290613	0.00142508	0.00797891
sample.65	PEL	-0.00985519	-0.0102754	-0.0100354	-0.0365994	-0.0201464	0.00237825	-0.00134882	-0.00266102	0.00093805	-0.0153341	0.00383069	0.0198987	0.00306539	0.00157179	-0.0030241	-0.00808509	-0.000235219	-0.00223347	0.00361206	0.000851044
sample.66	PEL	-0.00954939	-0.0109539	-0.011867	-0.0149034	0.0063747	0.00401786	0.00118118	-0.00177991	0.00556618	-0.029433	-0.00462859	-0.0131325	-0.00195036	0.00333362	-0.00205046	0.000880678	-0.00468394	0.00241914	-0.00021383	0.000404159
sample.67	PEL	-0.0105381	-0.0180191	-0.0128963	-0.00140076	0.00644896	0.00186109	0.00366778	0.00364931	-0.00326046	0.0055493	0.00335012	0.0126122	-0.0015163	0.00391426	-0.00334128	0.001487	0.00124706	0.00449812	0.00179518	-0.00227741
sample.68	PEL	-0.00979791	-0.0135835	-0.0119781	0.018095	-0.00200475	-0.000222569	-0.00284056	0.0149783	-0.00821761	-0.00372939	-0.00710951	-0.0102204	-0.0183954	0.00622091	7.47407e-05	-0.0135889	-0.000364625	-0.0015868	0.0028099	-0.000617598
sample.69	PEL	-0.00567438	-0.00901309	-0.00982763	-0.0251246	-0.0140033	0.0151066	0.0214941	-0.00603646	-0.00197768	0.00435498	0.0238693	-0.00109088	0.00860183	-0.00230221	0.00496875	0.00627522	-0.0086249	-0.0138972	-0.000312095	0.00819774
sample.70	PEL	-0.00920237	-0.0109144	-0.0105519	0.0101386	-0.00656331	-0.00274525	-0.00945779	0.0237539	-0.00124926	0.0147567	0.00615739	0.0184668	-0.0185252	0.00153032	0.00165591	-0.00524282	-0.00741633	-0.00566648	-0.0016325	0.00358614
sample.71	PEL	-0.00844516	-0.0140087	-0.0126863	0.00287017	-0.00485428	0.000543291	-0.00568282	-0.0246005	0.022724	0.0124079	0.00752935	-0.0134086	-0.0300415	0.00118615	0.000421354	-0.0241995	9.89549e-05	-0.00341337	0.00460707	-0.00304404
sample.72	PEL	-0.00966181	-0.0124579	-0.0112374	-0.00718474	0.00708903	0.00274545	0.000339718	-0.00641114	0.00186386	-0.0265714	-0.00726004	0.0332796	-0.0240572	0.0014778	0.00383069	-0.0052226	-0.00987082	-0.00495389	0.00541064	0.00801109
sample.73	PEL	-0.00973854	-0.0117674	-0.0106561	-0.0149425	0.0294633	0.00941897	0.00159663	-0.00308941	0.00265233	-0.00955232	0.00552611	0.0115925	0.00304821	-0.00149007	-0.00268764	0.00385766	-0.00114903	-0.00311053	0.00535662	0.0020708
sample.74	PEL	-0.00734591	-0.0080675	-0.00902307	-0.00407734	0.00235934	0.00114167	0.027089	-0.0318983	0.00243437	0.0119989	0.00353862	-0.00466706	-0.0255365	0.00398592	0.0060261	-0.00341894	-0.00777742	0.0109651	0.00319843	-0.00378552
sample.75	PEL	-0.00948424	-0.0134193	-0.011213	0.0193572	-0.0034488	-0.000341731	0.00342175	-0.0183053	0.00203977	-0.00444898	0.000881514	0.00610658	0.0141005	-0.00809777	0.00323414	0.010857	0.00273832	-0.00334578	0.0024683	-0.000879817
sample.76	PEL	-0.00964917	-0.0114251	-0.0103061	-0.00624209	0.0338584	0.0114242	0.00497889	0.00632597	0.000112104	-0.00195768	0.00160077	-0.00264076	-0.00337933	-1.26215e-05	0.00556345	-0.00310054	-0.00315955	-0.00088582	-0.00184034	-0.00181043
sample.77	PEL	-0.00939359	-0.0129106	-0.0120115	-0.0208245	-0.0222897	3.79627e-05	-0.00370534	-0.00184728	-0.000338825	0.023136	0.0148663	0.00609428	0.0213828	-0.00465225	-0.00576957	0.00805937	0.00193092	0.00265318	-0.0115419	-0.00689583
sample.78	PEL	-0.00768872	-0.0114636	-0.0104453	0.00155744	0.0348276	-0.00922317	0.00107542	0.00850448	0.0194531	0.00723863	0.00269177	-0.00382066	-0.0101145	0.00238104	-0.00572769	0.00445109	0.00397232	0.00255917	-0.00392372	0.00212673
sample.79	PEL	-0.00271044	-0.00594651	-0.00464834	0.0105886	-0.00762769	-0.043633	-0.00655074	-0.0303753	-0.0324642	0.015081	0.00787875	0.0161155	-0.0185627	0.00259686	0.00574617	-0.0184583	-0.00417162	0.00146269	0.0124811	0.0137419
sample.80	PEL	-0.00934407	-0.0114738	-0.0113514	0.0206945	-0.0016132	-0.00164099	0.00578145	-0.0382855	-0.00232613	-0.00161184	-0.0095344	0.0213192	-0.00477089	0.00228472	0.00275667	-0.0016942	0.000761964	-0.00618802	-0.00109886	-0.00357239
sample.81	PEL	-0.00850999	-0.00853526	-0.00917256	0.00601283	-0.00996155	-0.00235097	-0.000244741	-0.00604255	-0.0135449	-0.00202852	-0.00276764	-0.0380603	-0.01937	0.00386155	-0.000659405	-0.00779768	0.00100267	0.00313516	-0.0109829	-0.000795842
sample.82	PEL	-0.00338395	-0.012129	-0.00839012	0.00359427	-0.00933505	-0.043741	-0.0152784	0.00163381	0.0101483	0.033382	0.00804862	0.00964792	0.0193998	0.00464856	-0.00396748	0.00637248	0.00138867	0.00409996	0.0015956	-0.00391674
sample.83	PEL	-0.00900931	-0.0112472	-0.0100519	-0.00265587	-0.00644742	0.00177143	-0.00392612	0.0213358	0.00350445	0.00637334	0.00267086	0.00753121	-0.00507515	0.00437325	0.00874297	-0.00658908	-0.00216765	-0.00345972	0.00198975	0.00294762
sample.84	PEL	-0.00618942	0.00656317	-0.00428701	-0.0425213	-0.00360708	0.00325149	0.00585829	-0.0167774	-0.00691338	0.0218633	0.00469328	-0.0241323	-0.00650625	-0.00167336	0.000809017	0.00295427	0.000787064	0.00165516	-0.00757426	-0.0054056
sample.85	PEL	-0.010492	-0.019332	-0.00906884	-0.00520074	0.00960647	0.00393343	0.0116671	9.9784e-05	-0.00349898	0.00243758	-0.0013738	-0.000933212	0.00610624	-0.000719404	-0.00104143	0.00108931	-0.00140212	0.00326941	0.000162421	-1.96213e-05
sample.86	PEL	-0.0082306	-0.00593202	-0.00852243	0.0050577	0.0103447	0.00228785	0.00884042	-0.0266326	-0.00436329	0.0130914	-0.00848844	0.00187535	0.015438	-0.00489155	-0.00316422	0.00751159	0.0105584	0.00118074	-0.00906811	-0.00205047
sample.87	PEL	-0.00942914	-0.00993753	-0.0107197	-6.44295e-05	0.0337389	0.00805436	0.0126335	-0.0199344	0.00215966	0.00497154	-0.00412293	-0.010229	-0.0188059	0.00544392	0.00323972	-0.00688905	0.00328497	-0.00488911	-0.00291775	0.00223318
sample.88	PEL	-0.0108906	-0.0193295	-0.0140528	0.00278896	0.00205137	0.000404602	-6.13976e-05	0.00436128	-0.00121612	-0.00471942	-0.002464	-0.00106895	0.000598293	0.00418507	-0.00220361	-0.0013152	-0.00363613	-0.00552356	0.000141467	-0.000267018
sample.89	PEL	-0.00884596	-0.00642716	-0.00874937	0.0173115	0.027447	0.0016381	0.00668679	-0.0135532	0.0018857	0.00284441	-0.00932136	0.00760406	-0.00714044	-0.00209635	-0.000746086	-0.00321339	0.000722093	0.00189383	0.000871545	-0.00806424
sample.90	PEL	-0.0103728	-0.0166779	-0.012734	0.00897801	0.00175472	-0.00110696	0.00574723	-0.0107041	0.00078473	0.00204456	0.00188528	-0.0112981	0.00900305	-0.000731168	-0.00721681	0.00729391	0.00425754	0.00517601	-0.00396968	-0.00175281
sample.91	PEL	-0.0101603	-0.0176134	-0.013398	-0.00266626	0.00377437	0.000761272	0.00227531	-0.00521214	-0.00579165	0.0180719	0.00782524	0.00998843	0.00190674	0.00230208	-0.00650287	-0.000300632	-0.00792684	-0.000162709	0.00126	-0.00548733
sample.92	PEL	-0.00681429	-0.0104777	-0.00926785	0.00728237	-0.00764152	-0.0161015	-0.00525106	-0.00133311	0.031605	0.0229716	0.0120027	0.0110246	0.0106337	-0.0115946	-0.00313082	0.00704439	0.00989102	0.00208014	-0.00176062	-0.00101168
sample.93	PEL	-0.00699025	-0.00166574	-0.00762516	0.0124212	0.0298363	0.00630803	0.0112679	-0.00528583	0.000417033	-0.0197758	0.000530764	0.000577027	0.000550613	-0.00377667	0.00344674	0.00490634	-0.00109493	-0.00295513	0.00718799	-0.00128311
sample.94	PEL	-0.0043857	-0.007355	-0.00784712	-0.0301046	0.00417143	0.0170644	0.0376928	-0.00511056	-0.00428014	0.0055043	-0.00934744	-0.0126896	-0.00905113	0.00237751	-0.00364652	0.000896704	0.000359053	-0.000118618	0.0122434	0.000722023
sample.95	PEL	-0.00999104	-0.0158556	-0.0111853	0.00307717	-0.00993006	-0.0042902	0.00434921	-0.0132917	0.00360146	-0.00979945	-0.00447797	0.00574782	-0.0104142	-0.00266989	0.00456033	-0.00405283	-0.00174071	-0.00264302	-0.000996711	0.000882735
sample.96	PEL	-0.00858535	-0.00592317	-0.00800825	0.0242366	-0.00276671	-0.0040763	-0.0028667	0.00659215	0.00227604	0.0181065	0.00462998	-0.0195988	0.0122908	-0.00841637	-0.0106364	0.00307845	0.00391319	0.00391564	-0.0094963	-0.00359004
sample.97	PEL	-0.00804251	-0.00496559	-0.00881059	-0.0161932	-0.0086642	-0.00111646	-0.00389789	0.0240904	0.002447	0.00261424	0.010741	-0.0085712	0.0390474	-0.00630526	-0.00473429	0.0142796	0.00726909	0.00818811	-0.0055606	-0.00922733
sample.98	PEL	-0.00475284	-0.0117412	-0.0104322	0.01123	0.00371224	0.0162558	0.0457356	0.00616213	-0.00359779	0.0204947	0.00842458	0.0291967	0.0265513	0.00343668	-0.0154652	0.014293	-0.0158428	0.00428293	-0.00621757	-0.00599115
